Config_21,Config_130,Config_63,Config_105,Config_152,Unnamed: 5,Metric,Value (seconds)
0.0033035,0.0070589,0.0062172,0.0073858,0.0060405,,,
0.0030295,0.0073338,0.0070395,0.0157635,0.0056597,,,
0.0031463,0.0052388,0.0051985,0.0067554,0.0775629,,,
0.0039554,0.0060797,0.0066511,0.0054238,0.006783,,,
0.0031295,0.0064446,0.0052911,0.0064121,0.005812,,,
0.0039875,0.0047944,0.0047809,0.0071455,0.0170528,,,
0.0031223,0.0062672,0.0073464,0.0167168,0.0195911,,,
0.0031191,0.0050161,0.0068845,0.0051415,0.0064073,,,
0.0031873,0.0094966,0.0060193,0.0071062,0.0063424,,,
0.0032211,0.0088615,0.0511179,0.0227293,0.2126237,,,
0.0031885,0.0065077,0.0060342,0.0075808,0.005866,,,
0.0032756,0.008336,0.0070713,0.0069085,0.0060119,,,
0.0288267,0.0083883,0.0238477,0.0273104,0.175887,,,
0.0035183,0.0065261,0.0074809,0.0179343,0.0060746,,,
0.0032399,0.006516,0.0073458,0.00771,0.0073591,,,
0.0037228,0.0078503,0.0228821,0.0263112,0.1198535,,,
0.0032389,0.0068605,0.0089122,0.0078402,0.0076538,,,
0.0035427,0.0055449,0.0059485,0.0069951,0.006969,,,
0.0038542,0.0064726,0.0097081,0.0085845,0.0182805,,,
0.00328,0.0070491,0.006676,0.0050755,0.0058014,,,
0.0032878,0.0050187,0.0050945,0.0078868,0.0066324,,,
0.0294744,0.0054587,0.0056911,0.0086329,0.0063833,,,
0.0033478,0.0063384,0.0066246,0.0076739,0.0458611,,,
0.0031443,0.0053763,0.0068569,0.005421,0.0066652,,,
0.0033906,0.0059021,0.0053238,0.0062763,0.0058297,,,
0.0031269,0.0048957,0.0050399,0.007307,0.006547,,,
0.0034248,0.0057184,0.0105639,0.0141106,0.0617389,,,
0.0031698,0.0069525,0.0076185,0.0071703,0.006148,,,
0.0034475,0.0129559,0.0066942,0.0222519,0.0059824,,,
0.0031597,0.0051859,0.0062109,0.0067574,0.0059712,,,
0.0031203,0.0072782,0.0064652,0.0066509,0.0071038,,,
0.0035928,0.0077714,0.007378,0.0055032,0.0064408,,,
0.0035076,0.0053691,0.0054918,0.0116088,0.0069191,,,
0.0034653,0.0066078,0.0067862,0.0055132,0.0071646,,,
0.0031615,0.0062813,0.0248036,0.0746797,0.1774393,,,
0.0032285,0.005313,0.0092255,0.0051122,0.0061179,,,
0.0033708,0.0050005,0.005283,0.0066657,0.0062393,,,
0.0033495,0.0053245,0.0076539,0.0053226,0.0065605,,,
0.0037031,0.0086911,0.0074964,0.0069829,0.0060375,,,
0.0046504,0.0051408,0.0092953,0.0115458,0.0208895,,,
0.003617,0.0078902,0.0075933,0.0156648,0.0058475,,,
0.0036049,0.0080434,0.0113716,0.0085755,0.047305,,,
0.0037143,0.0074567,0.0075555,0.0091477,0.1136276,,,
0.0034643,0.0062976,0.0084782,0.0226918,0.3040168,,,
0.003857,0.004972,0.0060147,0.007253,0.0066684,,,
0.0032183,0.0050053,0.0069223,0.0066338,0.006029,,,
0.0033297,0.0055636,0.0075189,0.0069123,0.0064051,,,
0.0033403,0.0048216,0.0081168,0.0078316,0.0096266,,,
0.0034209,0.0129864,0.0085331,0.0219619,0.0587175,,,
0.0051151,0.0055098,0.0054679,0.0066272,0.006774,,,
0.0034923,0.006655,0.008348,0.0127755,0.0199432,,,
0.0032944,0.0067802,0.0097419,0.0198144,0.0441195,,,
0.0291146,0.00631,0.0054886,0.0074254,0.0065122,,,
0.0033441,0.0065157,0.0074412,0.004898,0.0060856,,,
0.0033772,0.0047309,0.0086627,0.0096998,0.0767746,,,
0.0031584,0.0062346,0.0090547,0.075112,0.1208013,,,
0.0032098,0.0060336,0.0361608,0.0136181,0.0220872,,,
0.0033425,0.0049893,0.0056573,0.0097932,0.0064574,,,
0.0043358,0.0068703,0.0082769,0.0563193,0.1019774,,,
