f1,f2,f3,f4,a1,a2,a3,a4,Kaibel Column (Configuration 21),Agrawal Column (Configuration 130),Configuration 63 (ABC Absent),Configuration 105 (BCD Absent),Sargent Column (Configuration 152)
5,10,5,80,15.625,6.25,2.5,1,69.89930162893111,66.51749640110393,67.08511954745512,65.67467992622605,65.67467994274381
5,10,10,75,15.625,6.25,2.5,1,81.15106519176453,74.62980931667059,75.8180596986314,73.17005356617807,73.17005358271848
5,10,15,70,15.625,6.25,2.5,1,91.5274905160291,81.94516864304816,83.79221979524581,79.98447074691109,79.98447076346221
5,10,20,65,15.625,6.25,2.5,1,101.40153897503623,88.78617422759916,91.32231880838421,86.4003715706574,86.40037158722197
5,10,25,60,15.625,6.25,2.5,1,110.94970625162063,95.30819377099527,98.55851130388581,92.55251013499054,92.55251015156921
5,10,30,55,15.625,6.25,2.5,1,120.27045066130631,101.59960319787635,105.5853665585289,98.51678194490543,98.51678196131655
5,10,35,50,15.625,6.25,2.5,1,129.42447605592844,107.71604573189461,112.45558934406188,104.34048615394931,104.34048617056166
5,10,40,45,15.625,6.25,2.5,1,138.4518394032939,113.69505992687823,119.20436882212914,110.05520277956984,110.05520279619171
5,10,45,40,15.625,6.25,2.5,1,147.38031182077447,119.56327344139791,125.8564084750628,115.68310161339687,115.68310163003648
5,10,50,35,15.625,6.25,2.5,1,156.2298862644541,125.34030922949648,132.4297275055386,121.24035373624321,121.2403537529029
5,10,55,30,15.625,6.25,2.5,1,165.0153914082022,131.04106909043642,138.93787306319567,126.739116843553,126.73911686021665
5,10,60,25,15.625,6.25,2.5,1,173.74809525652358,136.67714741637755,145.3912831093508,132.18875833795158,132.1887583546468
5,10,65,20,15.625,6.25,2.5,1,182.43673423292913,142.25774757728075,151.79816520446397,137.59664397886291,137.59664399558145
5,10,70,15,15.625,6.25,2.5,1,191.08819831857406,147.7902987068025,158.16508470878105,142.96866575623864,142.9686657729786
5,10,75,10,15.625,6.25,2.5,1,199.70800139729133,153.28088409911282,164.49737096361795,148.30960641228413,148.30960642904344
